name,,source,comments
@tatlen,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgzyYDBIQSSXEk5Hv5V4AaABAg,It's not about tariffs. It's about taxing Americans. He will call off the tariffs once the coffers are overflowing & claim some victory .  These guys are not stupid.
@poncho6784,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwZ_QmSZSOhWok22PJ4AaABAg,"As an American, I say stay strong world!   Push back on the extortionist in chief."
@banksiasong,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwkJuZdvwx-hESTIv94AaABAg,More strength to BRICS and every other nation other than the US.
@MikeMaker851,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugwt2rJlblLppzesIVp4AaABAg,Backed down again? Wow
@ianuy3346,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugx7kZalvpS7qIHZYRl4AaABAg,"Honestly, there is a new tariff every 2 months… at this point… what’s the point of business planning when things change so often."
@harryseldom6472,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgzQzUAoFqizIquRADV4AaABAg,confirmed: negotiating with trump is like playing chess with a hysterical pigeon...
@bimplerouge9389,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugx3aV6w5QNDSu7Hw7t4AaABAg,Our country has become bad kubuki theater.   Or more like fake wrestling.   Everyday is something stupider.     Beautiful letters?   Jesus wept.
@kingblicky635,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugw3OcYhl0SwkeKnr4l4AaABAg&pp=0gcJCSMANpG00pGi,Taco’s art of the deal in action
@fionawallace580,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgzNBcLU0QwdFG2ZuyF4AaABAg,Oh look- more market manipulation
@BarrySmithers22,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugyn4C1-kpqNkXVgM-54AaABAg,"The penguins on Heard Island dont have a postal service, so it will be hard to receive the tariff letter. Middle Earth and Narnia also dont have a postal servicefor their tariff letter"
@CruzXz,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgyRL9dz3qPy-33S6d14AaABAg,Dont deal with US  trump back at it again so that country negotiates with him what a joke
@KathleenClarke-q5n,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgyFzqajuUiymdZNI9J4AaABAg&pp=0gcJCSMANpG00pGi,Want to hear a joke? Netanyahu nominated Trump for a noble peace prize.
@princegroove,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwTH7LzKc99KohYlk54AaABAg,If only he had a concept of a plan…
@JohnofthefamilySmith,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgzV1ek3jfj76tWY6Cx4AaABAg,Taxes are unlawful.
